seed,stage,behavior,accuracy,overall_accuracy
27,Backbone,Standing,0.3745318352059925,74.58491202856894
27,Backbone,Walking,100.0,74.58491202856894
27,Backbone,Sitting,100.0,74.58491202856894
27,Backbone,Lying chest,97.96511627906976,74.58491202856894
27,Task_1,Standing,0.5555555555555556,75.09881422924902
27,Task_1,Walking,99.31506849315068,75.09881422924902
27,Task_1,Sitting,94.88817891373802,75.09881422924902
27,Task_1,Lying chest,99.1279069767442,75.09881422924902
27,Task_1,Sniffing,100.0,75.09881422924902
27,Task_2,Standing,0.6872852233676976,79.44664031620553
27,Task_2,Walking,90.4109589041096,79.44664031620553
27,Task_2,Sitting,99.36102236421723,79.44664031620553
27,Task_2,Lying chest,98.25581395348836,79.44664031620553
27,Task_2,Sniffing,99.71830985915491,79.44664031620553
27,Task_2,Trotting,100.0,79.44664031620553
27,Task_3,Standing,0.3745318352059925,80.03952569169961
27,Task_3,Walking,91.78082191780824,80.03952569169961
27,Task_3,Sitting,95.2076677316294,80.03952569169961
27,Task_3,Lying chest,97.67441860465117,80.03952569169961
27,Task_3,Sniffing,99.71830985915491,80.03952569169961
27,Task_3,Trotting,100.0,80.03952569169961
27,Task_3,Galloping,95.83333333333331,80.03952569169961
42,Backbone,Standing,91.35802469135804,55.46486904253175
42,Backbone,Walking,99.62406015037594,55.46486904253175
42,Backbone,Sitting,98.567335243553,55.46486904253175
42,Backbone,Lying chest,98.70466321243524,55.46486904253175
42,Backbone,Sniffing,0.0,55.46486904253175
42,Backbone,Trotting,0.0,55.46486904253175
42,Backbone,Galloping,0.0,55.46486904253175
42,Task_1,Standing,67.22689075630252,86.67383127350887
42,Task_1,Walking,99.24812030075188,86.67383127350887
42,Task_1,Sitting,98.28080229226362,86.67383127350887
42,Task_1,Lying chest,93.52331606217616,86.67383127350887
42,Task_1,Sniffing,84.63541666666667,86.67383127350887
42,Task_2,Standing,84.39153439153439,91.50994089199357
42,Task_2,Walking,99.24812030075188,91.50994089199357
42,Task_2,Sitting,98.28080229226362,91.50994089199357
42,Task_2,Lying chest,93.78238341968913,91.50994089199357
42,Task_2,Sniffing,82.55208333333333,91.50994089199357
42,Task_2,Trotting,100.0,91.50994089199357
42,Task_3,Standing,98.45679012345678,91.61740999462654
42,Task_3,Walking,98.87218045112782,91.61740999462654
42,Task_3,Sitting,98.567335243553,91.61740999462654
42,Task_3,Lying chest,80.56994818652849,91.61740999462654
42,Task_3,Sniffing,83.33333333333333,91.61740999462654
42,Task_3,Trotting,96.93877551020408,91.61740999462654
42,Task_3,Galloping,98.14814814814817,91.61740999462654
42,Backbone,Standing,91.35802469135804,55.46486904253175
42,Backbone,Walking,99.62406015037594,55.46486904253175
42,Backbone,Sitting,98.567335243553,55.46486904253175
42,Backbone,Lying chest,98.70466321243524,55.46486904253175
42,Backbone,Sniffing,0.0,55.46486904253175
42,Backbone,Trotting,0.0,55.46486904253175
42,Backbone,Galloping,0.0,55.46486904253175
42,Task_1,Standing,67.22689075630252,86.67383127350887
42,Task_1,Walking,99.24812030075188,86.67383127350887
42,Task_1,Sitting,98.28080229226362,86.67383127350887
42,Task_1,Lying chest,93.52331606217616,86.67383127350887
42,Task_1,Sniffing,84.63541666666667,86.67383127350887
42,Task_2,Standing,84.39153439153439,91.50994089199357
42,Task_2,Walking,99.24812030075188,91.50994089199357
42,Task_2,Sitting,98.28080229226362,91.50994089199357
42,Task_2,Lying chest,93.78238341968913,91.50994089199357
42,Task_2,Sniffing,82.55208333333333,91.50994089199357
42,Task_2,Trotting,100.0,91.50994089199357
42,Task_3,Standing,98.45679012345678,91.61740999462654
42,Task_3,Walking,98.87218045112782,91.61740999462654
42,Task_3,Sitting,98.567335243553,91.61740999462654
42,Task_3,Lying chest,80.56994818652849,91.61740999462654
42,Task_3,Sniffing,83.33333333333333,91.61740999462654
42,Task_3,Trotting,96.93877551020408,91.61740999462654
42,Task_3,Galloping,98.14814814814817,91.61740999462654
42,Backbone,Standing,91.35802469135804,55.46486904253175
42,Backbone,Walking,99.62406015037594,55.46486904253175
42,Backbone,Sitting,98.567335243553,55.46486904253175
42,Backbone,Lying chest,98.70466321243524,55.46486904253175
42,Backbone,Sniffing,0.0,55.46486904253175
42,Backbone,Trotting,0.0,55.46486904253175
42,Backbone,Galloping,0.0,55.46486904253175
42,Task_1,Standing,67.22689075630252,86.67383127350887
42,Task_1,Walking,99.24812030075188,86.67383127350887
42,Task_1,Sitting,98.28080229226362,86.67383127350887
42,Task_1,Lying chest,93.52331606217616,86.67383127350887
42,Task_1,Sniffing,84.63541666666667,86.67383127350887
42,Task_2,Standing,84.39153439153439,91.50994089199357
42,Task_2,Walking,99.24812030075188,91.50994089199357
42,Task_2,Sitting,98.28080229226362,91.50994089199357
42,Task_2,Lying chest,93.78238341968913,91.50994089199357
42,Task_2,Sniffing,82.55208333333333,91.50994089199357
42,Task_2,Trotting,100.0,91.50994089199357
42,Task_3,Standing,98.45679012345678,91.61740999462654
42,Task_3,Walking,98.87218045112782,91.61740999462654
42,Task_3,Sitting,98.567335243553,91.61740999462654
42,Task_3,Lying chest,80.56994818652849,91.61740999462654
42,Task_3,Sniffing,83.33333333333333,91.61740999462654
42,Task_3,Trotting,96.93877551020408,91.61740999462654
42,Task_3,Galloping,98.14814814814817,91.61740999462654
42,Backbone,Standing,98.76543209876544,56.3010123657217
42,Backbone,Walking,99.62406015037594,56.3010123657217
42,Backbone,Sitting,98.567335243553,56.3010123657217
42,Backbone,Lying chest,97.15025906735752,56.3010123657217
42,Backbone,Sniffing,0.0,56.3010123657217
42,Backbone,Trotting,0.0,56.3010123657217
42,Backbone,Galloping,0.0,56.3010123657217
42,Task_1,Standing,67.43697478991596,75.4433100483611
42,Task_1,Walking,99.24812030075188,75.4433100483611
42,Task_1,Sitting,98.567335243553,75.4433100483611
42,Task_1,Lying chest,33.41968911917098,75.4433100483611
42,Task_1,Sniffing,90.10416666666669,75.4433100483611
42,Task_2,Standing,84.92063492063492,79.31219774314884
42,Task_2,Walking,98.87218045112782,79.31219774314884
42,Task_2,Sitting,98.567335243553,79.31219774314884
42,Task_2,Lying chest,27.72020725388601,79.31219774314884
42,Task_2,Sniffing,89.32291666666667,79.31219774314884
42,Task_2,Trotting,100.0,79.31219774314884
42,Task_3,Standing,98.76543209876544,82.16012896292315
42,Task_3,Walking,99.24812030075188,82.16012896292315
42,Task_3,Sitting,98.567335243553,82.16012896292315
42,Task_3,Lying chest,27.202072538860104,82.16012896292315
42,Task_3,Sniffing,89.84375,82.16012896292315
42,Task_3,Trotting,98.9795918367347,82.16012896292315
42,Task_3,Galloping,100.0,82.16012896292315
42,Backbone,Standing,91.35802469135804,55.46486904253175
42,Backbone,Walking,99.62406015037594,55.46486904253175
42,Backbone,Sitting,98.567335243553,55.46486904253175
42,Backbone,Lying chest,98.70466321243524,55.46486904253175
42,Backbone,Sniffing,0.0,55.46486904253175
42,Backbone,Trotting,0.0,55.46486904253175
42,Backbone,Galloping,0.0,55.46486904253175
42,Task_1,Standing,67.22689075630252,86.67383127350887
42,Task_1,Walking,99.24812030075188,86.67383127350887
42,Task_1,Sitting,98.28080229226362,86.67383127350887
42,Task_1,Lying chest,93.52331606217616,86.67383127350887
42,Task_1,Sniffing,84.63541666666667,86.67383127350887
42,Task_2,Standing,84.39153439153439,91.50994089199357
42,Task_2,Walking,99.24812030075188,91.50994089199357
42,Task_2,Sitting,98.28080229226362,91.50994089199357
42,Task_2,Lying chest,93.78238341968913,91.50994089199357
42,Task_2,Sniffing,82.55208333333333,91.50994089199357
42,Task_2,Trotting,100.0,91.50994089199357
42,Task_3,Standing,98.45679012345678,91.61740999462654
42,Task_3,Walking,98.87218045112782,91.61740999462654
42,Task_3,Sitting,98.567335243553,91.61740999462654
42,Task_3,Lying chest,80.56994818652849,91.61740999462654
42,Task_3,Sniffing,83.33333333333333,91.61740999462654
42,Task_3,Trotting,96.93877551020408,91.61740999462654
42,Task_3,Galloping,98.14814814814817,91.61740999462654
42,Backbone,Standing,91.35802469135804,55.46486904253175
42,Backbone,Walking,99.62406015037594,55.46486904253175
42,Backbone,Sitting,98.567335243553,55.46486904253175
42,Backbone,Lying chest,98.70466321243524,55.46486904253175
42,Backbone,Sniffing,0.0,55.46486904253175
42,Backbone,Trotting,0.0,55.46486904253175
42,Backbone,Galloping,0.0,55.46486904253175
42,Task_1,Standing,67.22689075630252,86.67383127350887
42,Task_1,Walking,99.24812030075188,86.67383127350887
42,Task_1,Sitting,98.28080229226362,86.67383127350887
42,Task_1,Lying chest,93.52331606217616,86.67383127350887
42,Task_1,Sniffing,84.63541666666667,86.67383127350887
42,Task_2,Standing,84.39153439153439,91.50994089199357
42,Task_2,Walking,99.24812030075188,91.50994089199357
42,Task_2,Sitting,98.28080229226362,91.50994089199357
42,Task_2,Lying chest,93.78238341968913,91.50994089199357
42,Task_2,Sniffing,82.55208333333333,91.50994089199357
42,Task_2,Trotting,100.0,91.50994089199357
42,Task_3,Standing,98.45679012345678,91.61740999462654
42,Task_3,Walking,98.87218045112782,91.61740999462654
42,Task_3,Sitting,98.567335243553,91.61740999462654
42,Task_3,Lying chest,80.56994818652849,91.61740999462654
42,Task_3,Sniffing,83.33333333333333,91.61740999462654
42,Task_3,Trotting,96.93877551020408,91.61740999462654
42,Task_3,Galloping,98.14814814814817,91.61740999462654
42,Backbone,Standing,91.35802469135804,55.46486904253175
42,Backbone,Walking,99.62406015037594,55.46486904253175
42,Backbone,Sitting,98.567335243553,55.46486904253175
42,Backbone,Lying chest,98.70466321243524,55.46486904253175
42,Backbone,Sniffing,0.0,55.46486904253175
42,Backbone,Trotting,0.0,55.46486904253175
42,Backbone,Galloping,0.0,55.46486904253175
