seed,stage,behavior,accuracy,overall_accuracy
42,Backbone,Standing,91.35802469135803,55.464869042531745
42,Backbone,Walking,99.62406015037594,55.464869042531745
42,Backbone,Sitting,98.567335243553,55.464869042531745
42,Backbone,Lying chest,98.70466321243524,55.464869042531745
42,Backbone,Sniffing,0.0,55.464869042531745
42,Backbone,Trotting,0.0,55.464869042531745
42,Backbone,Galloping,0.0,55.464869042531745
42,Task_1,Standing,67.22689075630252,86.1902203116604
42,Task_1,Walking,99.24812030075188,86.1902203116604
42,Task_1,Sitting,98.28080229226362,86.1902203116604
42,Task_1,Lying chest,89.89637305699482,86.1902203116604
42,Task_1,Sniffing,85.9375,86.1902203116604
42,Task_2,Standing,84.39153439153439,90.05910800644814
42,Task_2,Walking,99.24812030075188,90.05910800644814
42,Task_2,Sitting,98.28080229226362,90.05910800644814
42,Task_2,Lying chest,87.04663212435233,90.05910800644814
42,Task_2,Sniffing,82.29166666666667,90.05910800644814
42,Task_2,Trotting,100.0,90.05910800644814
42,Task_3,Standing,98.45679012345678,90.70392262224611
42,Task_3,Walking,99.24812030075188,90.70392262224611
42,Task_3,Sitting,98.567335243553,90.70392262224611
42,Task_3,Lying chest,78.49740932642487,90.70392262224611
42,Task_3,Sniffing,81.51041666666667,90.70392262224611
42,Task_3,Trotting,93.87755102040816,90.70392262224611
42,Task_3,Galloping,98.14814814814815,90.70392262224611
