seed,stage,behavior,accuracy,overall_accuracy,metric_type
27,Backbone_Val,Standing,0.37453183520599254,100.0,validation
27,Backbone_Val,Walking,100.0,100.0,validation
27,Backbone_Val,Sitting,100.0,100.0,validation
27,Backbone_Val,Lying chest,97.96511627906976,100.0,validation
27,Task_1_Test,Standing,0.5555555555555556,75.09881422924902,test
27,Task_1_Test,Walking,99.31506849315069,75.09881422924902,test
27,Task_1_Test,Sitting,94.88817891373802,75.09881422924902,test
27,Task_1_Test,Lying chest,99.12790697674419,75.09881422924902,test
27,Task_1_Test,Sniffing,100.0,75.09881422924902,test
27,Task_2_Test,Standing,0.6872852233676976,79.44664031620553,test
27,Task_2_Test,Walking,90.41095890410959,79.44664031620553,test
27,Task_2_Test,Sitting,99.36102236421725,79.44664031620553,test
27,Task_2_Test,Lying chest,98.25581395348837,79.44664031620553,test
27,Task_2_Test,Sniffing,99.71830985915493,79.44664031620553,test
27,Task_2_Test,Trotting,100.0,79.44664031620553,test
27,Task_3_Test,Standing,0.37453183520599254,80.03952569169961,test
27,Task_3_Test,Walking,91.78082191780823,80.03952569169961,test
27,Task_3_Test,Sitting,95.2076677316294,80.03952569169961,test
27,Task_3_Test,Lying chest,97.67441860465117,80.03952569169961,test
27,Task_3_Test,Sniffing,99.71830985915493,80.03952569169961,test
27,Task_3_Test,Trotting,100.0,80.03952569169961,test
27,Task_3_Test,Galloping,95.83333333333333,80.03952569169961,test
