seed,task,metric,value
27,1,avg_acc,80.0
27,1,avg_inc_acc,80.0
27,1,avg_forg,0.0
27,1,bwt,0.0
27,1,fwt,0.0
27,1,kappa,0.0
27,1,zeta,0.0
27,1,intransigence,0.0
27,2,avg_acc,80.71232297611499
27,2,avg_inc_acc,80.47488198407666
27,2,avg_forg,-0.701754385964918
27,2,bwt,0.701754385964918
27,2,fwt,62.52908756889161
27,2,kappa,0.701754385964918
27,2,zeta,1.4492753623188406
27,2,intransigence,0.0
27,3,avg_acc,80.55607196369789
27,3,avg_inc_acc,80.51547697388727
27,3,avg_forg,-0.10202212358203866
27,3,bwt,0.45289931656449767
27,3,fwt,34.53835330825533
27,3,kappa,0.5358510063646378
27,3,zeta,32.46047430830039
27,3,intransigence,0.0
