seed,metric,value
27,params_backbone,3664
27,params_head_dense,132
27,params_total_dense,3796
27,head_nonzero_frac,0.703125
27,flash_backbone_int8,14656
27,flash_head_int8_dense,132
27,flash_head_int8_sparse,94
27,flash_total_int8_dense,14788
27,flash_total_int8_sparse,14750
27,train_weights_head_fp32,528
27,train_grads_head_fp32,528
27,train_opt_states_head_fp32,1056
27,train_activations_head_fp32,128
27,replay_buffer_bytes,190000
27,replay_buffer_bytes_per_example,38
27,train_sram_total_bytes,194816
27,infer_peak_activation_bytes_b1,4800
27,forward_macs_backbone_per_sample,112000
27,forward_macs_head_per_sample_dense,128
27,forward_macs_head_per_sample_sparse,90
27,forward_macs_total_dense_per_sample,112128
27,forward_macs_total_sparse_per_sample,112090
27,train_macs_per_batch_dense,224692
27,train_macs_per_batch_sparse,224540
27,forward_flops_total_sparse_per_sample,224180
27,train_flops_per_batch_sparse,449080
27,conv_lengths,"(50, 25)"
27,head_in_dim,32
27,head_out_dim,4
