seed,stage,task_idx,final_training_loss,avg_training_loss,metric_type,epoch,training_loss
27,Task_1_Training,0,0.8437293311509078,0.9792615041701179,training_loss,,
27,Task_1_Training_Epoch_0,0,,,training_loss_epoch,0.0,1.58365030281259
27,Task_1_Training_Epoch_1,0,,,training_loss_epoch,1.0,1.1015408266329085
27,Task_1_Training_Epoch_2,0,,,training_loss_epoch,2.0,0.9803249563488377
27,Task_1_Training_Epoch_3,0,,,training_loss_epoch,3.0,0.9381196238963787
27,Task_1_Training_Epoch_4,0,,,training_loss_epoch,4.0,0.9019159229026263
27,Task_1_Training_Epoch_5,0,,,training_loss_epoch,5.0,0.8676001841630687
27,Task_1_Training_Epoch_6,0,,,training_loss_epoch,6.0,0.8620432829844035
27,Task_1_Training_Epoch_7,0,,,training_loss_epoch,7.0,0.8592503228818581
27,Task_1_Training_Epoch_8,0,,,training_loss_epoch,8.0,0.8544402879276006
27,Task_1_Training_Epoch_9,0,,,training_loss_epoch,9.0,0.8437293311509078
27,Task_2_Training,1,0.367730095366311,0.45601111090925633,training_loss,,
27,Task_2_Training_Epoch_0,1,,,training_loss_epoch,0.0,0.8241351062312293
27,Task_2_Training_Epoch_1,1,,,training_loss_epoch,1.0,0.5226602146003895
27,Task_2_Training_Epoch_2,1,,,training_loss_epoch,2.0,0.45512926294535383
27,Task_2_Training_Epoch_3,1,,,training_loss_epoch,3.0,0.4315128221299297
27,Task_2_Training_Epoch_4,1,,,training_loss_epoch,4.0,0.4120425084045782
27,Task_2_Training_Epoch_5,1,,,training_loss_epoch,5.0,0.39594035416197937
27,Task_2_Training_Epoch_6,1,,,training_loss_epoch,6.0,0.3879258466125409
27,Task_2_Training_Epoch_7,1,,,training_loss_epoch,7.0,0.3856228066949692
27,Task_2_Training_Epoch_8,1,,,training_loss_epoch,8.0,0.3774120919452825
27,Task_2_Training_Epoch_9,1,,,training_loss_epoch,9.0,0.367730095366311
27,Task_3_Training,2,0.27168812045733515,0.30117850511897515,training_loss,,
27,Task_3_Training_Epoch_0,2,,,training_loss_epoch,0.0,0.44900659212111876
27,Task_3_Training_Epoch_1,2,,,training_loss_epoch,1.0,0.3227396151672481
27,Task_3_Training_Epoch_2,2,,,training_loss_epoch,2.0,0.3111706962174778
27,Task_3_Training_Epoch_3,2,,,training_loss_epoch,3.0,0.28653101973858175
27,Task_3_Training_Epoch_4,2,,,training_loss_epoch,4.0,0.2894922017657496
27,Task_3_Training_Epoch_5,2,,,training_loss_epoch,5.0,0.27546190207698285
27,Task_3_Training_Epoch_6,2,,,training_loss_epoch,6.0,0.271929076921783
27,Task_3_Training_Epoch_7,2,,,training_loss_epoch,7.0,0.2764252545218561
27,Task_3_Training_Epoch_8,2,,,training_loss_epoch,8.0,0.25734057220161904
27,Task_3_Training_Epoch_9,2,,,training_loss_epoch,9.0,0.27168812045733515
