Stage,Behavior,Accuracy
Backbone,0,65.46762589928058
Backbone,1,64.63414634146342
Backbone,2,0.0
Backbone,3,0.0
Backbone,4,63.46153846153846
Backbone,5,89.70588235294117
Backbone,6,0.0
Backbone,7,71.42857142857143
Backbone,8,73.07692307692308
Backbone,9,51.785714285714285
Backbone,10,92.85714285714286
Backbone,11,75.86206896551724
Backbone,12,54.54545454545455
Task 1,0,0.0
Task 1,1,0.0
Task 1,2,100.0
Task 1,3,0.0
Task 1,4,0.0
Task 1,5,0.0
Task 1,6,0.0
Task 1,7,0.0
Task 1,8,0.0
Task 1,9,0.0
Task 1,10,0.0
Task 1,11,0.0
Task 1,12,0.0
Task 2,0,0.0
Task 2,1,0.0
Task 2,2,0.0
Task 2,3,100.0
Task 2,4,0.0
Task 2,5,0.0
Task 2,6,0.0
Task 2,7,0.0
Task 2,8,0.0
Task 2,9,0.0
Task 2,10,0.0
Task 2,11,0.0
Task 2,12,0.0
Task 3,0,0.0
Task 3,1,0.0
Task 3,2,0.0
Task 3,3,0.0
Task 3,4,0.0
Task 3,5,0.0
Task 3,6,100.0
Task 3,7,0.0
Task 3,8,0.0
Task 3,9,0.0
Task 3,10,0.0
Task 3,11,0.0
Task 3,12,0.0
