Section,Metric,Value
config,input_size,"(1, 3, 160, 160)"
config,activation_bits_infer,8
config,activation_bits_train,32
config,backbone_weight_bits_deployed,8
config,proj_weight_bits_deployed,32
config,head_weight_bits_deployed,32
config,batch_size_live,1
config,batch_size_replay,4
config,replay_enabled,True
config,replay_size,1000
config,replay_bits,8
config,include_replay_scores,True
config,include_perchannel_scales,True
config,num_seen_classes,
config,optimizer,adam
backbone,params,325984
backbone,flash_kB,318.34375
proj,params,20608
proj,flash_kB,80.5
backbone_proj_runtime,macs_per_sample,384430080.0
backbone_proj_runtime,macs_per_sample_M,384.43008
backbone_proj_runtime,peak_activation_bytes,409600
backbone_proj_runtime,peak_activation_kB,400.0
backbone_proj_runtime,peak_activation_MB,0.390625
backbone_proj_runtime,per_module_macs,"{'model.quant_backbone.backbone.2.0': 117964800.0, 'model.quant_backbone.backbone.5.0': 117964800.0, 'model.quant_backbone.backbone.8.0': 73728000.0, 'model.quant_backbone.backbone.3.0': 26214400.0, 'model.quant_backbone.backbone.6.0': 26214400.0, 'model.quant_backbone.backbone.9.0': 10240000.0, 'model.quant_backbone.backbone.1.0': 6553600.0, 'model.quant_backbone.backbone.0.0': 5529600.0, 'model.proj.1': 20480.0, 'model.quant_backbone.quant': 0.0, 'model.quant_backbone.backbone.0.1': 0.0, 'model.quant_backbone.backbone.0.2': 0.0, 'model.quant_backbone.backbone.1.1': 0.0, 'model.quant_backbone.backbone.1.2': 0.0, 'model.quant_backbone.backbone.2.1': 0.0, 'model.quant_backbone.backbone.2.2': 0.0, 'model.quant_backbone.backbone.3.1': 0.0, 'model.quant_backbone.backbone.3.2': 0.0, 'model.quant_backbone.backbone.4': 0.0, 'model.quant_backbone.backbone.5.1': 0.0, 'model.quant_backbone.backbone.5.2': 0.0, 'model.quant_backbone.backbone.6.1': 0.0, 'model.quant_backbone.backbone.6.2': 0.0, 'model.quant_backbone.backbone.7': 0.0, 'model.quant_backbone.backbone.8.1': 0.0, 'model.quant_backbone.backbone.8.2': 0.0, 'model.quant_backbone.backbone.9.1': 0.0, 'model.quant_backbone.backbone.9.2': 0.0, 'model.quant_backbone.backbone.10': 0.0, 'model.quant_backbone.dequant': 0.0, 'model.quant_backbone.gap': 0.0, 'model.proj.0': 0.0}"
backbone_proj_runtime,per_module_peak_act_bytes,"{'model.quant_backbone.backbone.2.0': 409600, 'model.quant_backbone.backbone.2.1': 409600, 'model.quant_backbone.backbone.2.2': 409600, 'model.quant_backbone.backbone.3.0': 409600, 'model.quant_backbone.backbone.3.1': 409600, 'model.quant_backbone.backbone.3.2': 409600, 'model.quant_backbone.backbone.0.0': 204800, 'model.quant_backbone.backbone.0.1': 204800, 'model.quant_backbone.backbone.0.2': 204800, 'model.quant_backbone.backbone.1.0': 204800, 'model.quant_backbone.backbone.1.1': 204800, 'model.quant_backbone.backbone.1.2': 204800, 'model.quant_backbone.backbone.5.0': 204800, 'model.quant_backbone.backbone.5.1': 204800, 'model.quant_backbone.backbone.5.2': 204800, 'model.quant_backbone.backbone.6.0': 204800, 'model.quant_backbone.backbone.6.1': 204800, 'model.quant_backbone.backbone.6.2': 204800, 'model.quant_backbone.backbone.4': 102400, 'model.quant_backbone.quant': 76800, 'model.quant_backbone.backbone.8.0': 64000, 'model.quant_backbone.backbone.8.1': 64000, 'model.quant_backbone.backbone.8.2': 64000, 'model.quant_backbone.backbone.9.0': 64000, 'model.quant_backbone.backbone.9.1': 64000, 'model.quant_backbone.backbone.9.2': 64000, 'model.quant_backbone.backbone.7': 51200, 'model.quant_backbone.backbone.10': 16000, 'model.quant_backbone.dequant': 16000, 'model.quant_backbone.gap': 160, 'model.proj.0': 160, 'model.proj.1': 128}"
head,params,1677
head,flash_kB_INT8,1.6376953125
head,flash_kB_FP32,6.55078125
head,infer_macs_per_sample,1664
head,infer_macs_per_sample_M,0.001664
head,train_state_kB_FP32_est,19.65234375
head,act_bytes_per_sample_INFER,128
head,act_bytes_per_sample_TRAIN,512
head,param_bytes_FP32,6708
deployed_total,flash_kB,405.39453125
deployed_total,macs_per_sample_M,384.431744
training_overheads,head_train_state_kB_FP32_est,19.65234375
training_overheads,head_param_grad_bytes_est,6708
training_overheads,train_activations_bytes_head_live,512
training_overheads,train_activations_bytes_head_replay,2048
training_overheads,train_activations_bytes_head_total,2560
training_overheads,train_activations_kB_head_total,2.5
training_overheads,train_macs_per_step,384438400.0
training_overheads,train_macs_per_step_M,384.4384
replay_storage,feat_dim,128
replay_storage,latent_per_sample_bytes,128
replay_storage,latent_total_bytes,128000
replay_storage,latent_total_kB,125.0
replay_storage,scores_total_bytes,4000
replay_storage,scales_bytes,512
replay_storage,per_class_stats_bytes,0
replay_storage,replay_total_bytes,132512
replay_storage,replay_total_kB,129.40625
tdm_buffers,bytes,26624
tdm_buffers,kB,26.0
