Stage,Behavior,Accuracy
Backbone,0,65.46762589928058
Backbone,1,64.63414634146342
Backbone,2,0.0
Backbone,3,0.0
Backbone,4,63.46153846153846
Backbone,5,89.70588235294117
Backbone,6,0.0
Backbone,7,71.42857142857143
Backbone,8,73.07692307692308
Backbone,9,51.785714285714285
Backbone,10,92.85714285714286
Backbone,11,75.86206896551724
Backbone,12,54.54545454545455
Task 1,0,28.776978417266186
Task 1,1,39.02439024390244
Task 1,2,83.63636363636364
Task 1,3,0.0
Task 1,4,50.0
Task 1,5,72.05882352941177
Task 1,6,0.0
Task 1,7,48.214285714285715
Task 1,8,30.76923076923077
Task 1,9,23.214285714285715
Task 1,10,87.14285714285714
Task 1,11,39.6551724137931
Task 1,12,23.636363636363637
Task 2,0,52.51798561151079
Task 2,1,48.78048780487805
Task 2,2,69.0909090909091
Task 2,3,68.42105263157895
Task 2,4,44.23076923076923
Task 2,5,85.29411764705883
Task 2,6,0.0
Task 2,7,57.142857142857146
Task 2,8,38.46153846153846
Task 2,9,32.142857142857146
Task 2,10,62.857142857142854
Task 2,11,50.0
Task 2,12,43.63636363636363
Task 3,0,49.64028776978417
Task 3,1,51.21951219512195
Task 3,2,61.81818181818182
Task 3,3,61.40350877192982
Task 3,4,42.30769230769231
Task 3,5,44.11764705882353
Task 3,6,68.64406779661017
Task 3,7,60.714285714285715
Task 3,8,50.0
Task 3,9,32.142857142857146
Task 3,10,62.857142857142854
Task 3,11,51.724137931034484
Task 3,12,41.81818181818182
