Task,Experience,Phase,Stream,Metric,SubID,Value
000,0,train,train,MaxRAMUsage_MB,,0
000,0,train,train,DiskUsage_MB,,76505.0361328125
000,0,train,train,MAC_MB,,374464
000,0,train,train,MaxRAMUsage_Epoch,,546.046875
000,0,train,train,DiskUsage_Epoch,,76505.0361328125
000,0,train,train,MAC_Epoch,,374464
000,0,eval,test,Top1_Acc_Exp,000,1.0
000,0,eval,test,MaxRAMUsage_Experience,000,0
000,0,eval,test,DiskUsage_Exp,000,76505.0478515625
000,0,eval,test,MAC_Exp,000,374464
000,0,eval,test,Top1_Acc_Exp,001,0.0
000,0,eval,test,MaxRAMUsage_Experience,001,0
000,0,eval,test,DiskUsage_Exp,001,76505.0625
000,0,eval,test,MAC_Exp,001,374464
000,0,eval,test,Top1_Acc_Exp,002,0.0
000,0,eval,test,MaxRAMUsage_Experience,002,0
000,0,eval,test,DiskUsage_Exp,002,76505.0771484375
000,0,eval,test,MAC_Exp,002,374464
000,0,eval,test,Top1_Acc_Exp,003,0.0
000,0,eval,test,MaxRAMUsage_Experience,003,381.734375
000,0,eval,test,DiskUsage_Exp,003,76505.091796875
000,0,eval,test,MAC_Exp,003,374464
000,0,eval,test,Top1_Acc_Exp,004,0.0
000,0,eval,test,MaxRAMUsage_Experience,004,0
000,0,eval,test,DiskUsage_Exp,004,76505.1064453125
000,0,eval,test,MAC_Exp,004,374464
000,0,eval,test,Top1_Acc_Stream,,0.1874
,0,eval,test,StreamForgetting,,0.0
,0,eval,test,StreamBWT,,0.0
000,0,eval,test,MaxRAMUsage_Stream,,393.90625
000,0,eval,test,DiskUsage_Stream,,76505.1064453125
000,1,train,train,MaxRAMUsage_MB,,0
000,1,train,train,DiskUsage_MB,,76505.12109375
000,1,train,train,MAC_MB,,374464
000,1,train,train,MaxRAMUsage_Epoch,,396.34375
000,1,train,train,DiskUsage_Epoch,,76505.12109375
000,1,train,train,MAC_Epoch,,374464
000,1,eval,test,Top1_Acc_Exp,000,0.9674493062966916
000,1,eval,test,MaxRAMUsage_Experience,000,0
000,1,eval,test,DiskUsage_Exp,000,76505.1328125
000,1,eval,test,MAC_Exp,000,374464
000,1,eval,test,Top1_Acc_Exp,001,0.990849008642603
000,1,eval,test,MaxRAMUsage_Experience,001,0
000,1,eval,test,DiskUsage_Exp,001,76505.15234375
000,1,eval,test,MAC_Exp,001,374464
000,1,eval,test,Top1_Acc_Exp,002,0.0
000,1,eval,test,MaxRAMUsage_Experience,002,0
000,1,eval,test,DiskUsage_Exp,002,76505.1669921875
000,1,eval,test,MAC_Exp,002,374464
000,1,eval,test,Top1_Acc_Exp,003,0.0
000,1,eval,test,MaxRAMUsage_Experience,003,404.375
000,1,eval,test,DiskUsage_Exp,003,76505.181640625
000,1,eval,test,MAC_Exp,003,374464
000,1,eval,test,Top1_Acc_Exp,004,0.0
000,1,eval,test,MaxRAMUsage_Experience,004,0
000,1,eval,test,DiskUsage_Exp,004,76505.1962890625
000,1,eval,test,MAC_Exp,004,374464
000,1,eval,test,Top1_Acc_Stream,,0.3762
,1,eval,test,StreamForgetting,,0.03255069370330843
,1,eval,test,StreamBWT,,-0.03255069370330843
000,1,eval,test,MaxRAMUsage_Stream,,404.375
000,1,eval,test,DiskUsage_Stream,,76505.1962890625
000,1,eval,test,ExperienceForgetting,000,0.03255069370330843
000,1,eval,test,ExperienceBWT,000,-0.03255069370330843
000,2,train,train,MaxRAMUsage_MB,,0
000,2,train,train,DiskUsage_MB,,76505.2109375
000,2,train,train,MAC_MB,,374464
000,2,train,train,MaxRAMUsage_Epoch,,408.484375
000,2,train,train,DiskUsage_Epoch,,76505.2109375
000,2,train,train,MAC_Epoch,,374464
000,2,eval,test,Top1_Acc_Exp,000,0.9455709711846318
000,2,eval,test,MaxRAMUsage_Experience,000,0
000,2,eval,test,DiskUsage_Exp,000,76505.22265625
000,2,eval,test,MAC_Exp,000,374464
000,2,eval,test,Top1_Acc_Exp,001,0.925775292323335
000,2,eval,test,MaxRAMUsage_Experience,001,0
000,2,eval,test,DiskUsage_Exp,001,76505.2421875
000,2,eval,test,MAC_Exp,001,374464
000,2,eval,test,Top1_Acc_Exp,002,0.992462311557789
000,2,eval,test,MaxRAMUsage_Experience,002,0
000,2,eval,test,DiskUsage_Exp,002,76505.26171875
000,2,eval,test,MAC_Exp,002,374464
000,2,eval,test,Top1_Acc_Exp,003,0.0
000,2,eval,test,MaxRAMUsage_Experience,003,558.0625
000,2,eval,test,DiskUsage_Exp,003,76505.2763671875
000,2,eval,test,MAC_Exp,003,374464
000,2,eval,test,Top1_Acc_Exp,004,0.0
000,2,eval,test,MaxRAMUsage_Experience,004,0
000,2,eval,test,DiskUsage_Exp,004,76505.291015625
000,2,eval,test,MAC_Exp,004,374464
000,2,eval,test,Top1_Acc_Stream,,0.5568
,2,eval,test,StreamForgetting,,0.05975137256731805
,2,eval,test,StreamBWT,,-0.05975137256731805
000,2,eval,test,MaxRAMUsage_Stream,,558.0625
000,2,eval,test,DiskUsage_Stream,,76505.291015625
000,2,eval,test,ExperienceForgetting,000,0.05442902881536815
000,2,eval,test,ExperienceBWT,000,-0.05442902881536815
000,2,eval,test,ExperienceForgetting,001,0.06507371631926795
000,2,eval,test,ExperienceBWT,001,-0.06507371631926795
000,3,train,train,MaxRAMUsage_MB,,0
000,3,train,train,DiskUsage_MB,,76505.3056640625
000,3,train,train,MAC_MB,,374464
000,3,train,train,MaxRAMUsage_Epoch,,570.25
000,3,train,train,DiskUsage_Epoch,,76505.3056640625
000,3,train,train,MAC_Epoch,,374464
000,3,eval,test,Top1_Acc_Exp,000,0.8959445037353255
000,3,eval,test,MaxRAMUsage_Experience,000,0
000,3,eval,test,DiskUsage_Exp,000,76505.3173828125
000,3,eval,test,MAC_Exp,000,374464
000,3,eval,test,Top1_Acc_Exp,001,0.8525673614641586
000,3,eval,test,MaxRAMUsage_Experience,001,0
000,3,eval,test,DiskUsage_Exp,001,76505.3369140625
000,3,eval,test,MAC_Exp,001,374464
000,3,eval,test,Top1_Acc_Exp,002,0.9582914572864322
000,3,eval,test,MaxRAMUsage_Experience,002,193.046875
000,3,eval,test,DiskUsage_Exp,002,76505.3564453125
000,3,eval,test,MAC_Exp,002,374464
000,3,eval,test,Top1_Acc_Exp,003,0.9944521497919556
000,3,eval,test,MaxRAMUsage_Experience,003,0
000,3,eval,test,DiskUsage_Exp,003,76505.3759765625
000,3,eval,test,MAC_Exp,003,374464
000,3,eval,test,Top1_Acc_Exp,004,0.0
000,3,eval,test,MaxRAMUsage_Experience,004,222.140625
000,3,eval,test,DiskUsage_Exp,004,76505.390625
000,3,eval,test,MAC_Exp,004,374464
000,3,eval,test,Top1_Acc_Stream,,0.7414
,3,eval,test,StreamForgetting,,0.09216933257149189
,3,eval,test,StreamBWT,,-0.09216933257149189
000,3,eval,test,MaxRAMUsage_Stream,,222.0
000,3,eval,test,DiskUsage_Stream,,76505.390625
000,3,eval,test,ExperienceForgetting,000,0.10405549626467447
000,3,eval,test,ExperienceBWT,000,-0.10405549626467447
000,3,eval,test,ExperienceForgetting,001,0.13828164717844438
000,3,eval,test,ExperienceBWT,001,-0.13828164717844438
000,3,eval,test,ExperienceForgetting,002,0.0341708542713568
000,3,eval,test,ExperienceBWT,002,-0.0341708542713568
000,4,train,train,MaxRAMUsage_MB,,0
000,4,train,train,DiskUsage_MB,,76505.4052734375
000,4,train,train,MAC_MB,,374464
000,4,train,train,MaxRAMUsage_Epoch,,166.421875
000,4,train,train,DiskUsage_Epoch,,76505.4052734375
000,4,train,train,MAC_Epoch,,374464
000,4,eval,test,Top1_Acc_Exp,000,0.8799359658484525
000,4,eval,test,MaxRAMUsage_Experience,000,0
000,4,eval,test,DiskUsage_Exp,000,76505.4169921875
000,4,eval,test,MAC_Exp,000,374464
000,4,eval,test,Top1_Acc_Exp,001,0.8652770716827657
000,4,eval,test,MaxRAMUsage_Experience,001,0
000,4,eval,test,DiskUsage_Exp,001,76505.4365234375
000,4,eval,test,MAC_Exp,001,374464
000,4,eval,test,Top1_Acc_Exp,002,0.9236180904522613
000,4,eval,test,MaxRAMUsage_Experience,002,0
000,4,eval,test,DiskUsage_Exp,002,76505.4560546875
000,4,eval,test,MAC_Exp,002,374464
000,4,eval,test,Top1_Acc_Exp,003,0.9241793804900601
000,4,eval,test,MaxRAMUsage_Experience,003,260.90625
000,4,eval,test,DiskUsage_Exp,003,76505.4755859375
000,4,eval,test,MAC_Exp,003,374464
000,4,eval,test,Top1_Acc_Exp,004,0.9880358923230309
000,4,eval,test,MaxRAMUsage_Experience,004,0
000,4,eval,test,DiskUsage_Exp,004,76505.4951171875
000,4,eval,test,MAC_Exp,004,374464
000,4,eval,test,Top1_Acc_Stream,,0.917
,4,eval,test,StreamForgetting,,0.096188240379702
,4,eval,test,StreamBWT,,-0.096188240379702
000,4,eval,test,MaxRAMUsage_Stream,,260.90625
000,4,eval,test,DiskUsage_Stream,,76505.4951171875
000,4,eval,test,ExperienceForgetting,000,0.12006403415154754
000,4,eval,test,ExperienceBWT,000,-0.12006403415154754
000,4,eval,test,ExperienceForgetting,001,0.12557193695983726
000,4,eval,test,ExperienceBWT,001,-0.12557193695983726
000,4,eval,test,ExperienceForgetting,002,0.06884422110552768
000,4,eval,test,ExperienceBWT,002,-0.06884422110552768
000,4,eval,test,ExperienceForgetting,003,0.07027276930189552
000,4,eval,test,ExperienceBWT,003,-0.07027276930189552
